"","day","coffee.count"
"1",2018-01-22,92
"2",2018-01-23,110
"3",2018-01-24,109
"4",2018-01-25,114
"5",2018-01-26,93
"6",2018-01-27,0
"7",2018-01-28,0
"8",2018-01-29,112
"9",2018-01-30,134
"10",2018-01-31,128
"11",2018-02-01,141
"12",2018-02-02,91
"13",2018-02-03,0
"14",2018-02-04,0
"15",2018-02-05,81
"16",2018-02-06,116
"17",2018-02-07,112
"18",2018-02-08,99
"19",2018-02-09,83
"20",2018-02-10,0
"21",2018-02-11,0
"22",2018-02-12,36
"23",2018-02-13,108
"24",2018-02-14,105
"25",2018-02-15,88
"26",2018-02-16,100
"27",2018-02-17,0
"28",2018-02-18,0
"29",2018-02-19,99
"30",2018-02-20,148
"31",2018-02-21,108
"32",2018-02-22,156
"33",2018-02-23,103
"34",2018-02-24,0
"35",2018-02-25,0
"36",2018-02-26,85
"37",2018-02-27,138
"38",2018-02-28,94
"39",2018-03-01,115
"40",2018-03-02,104
"41",2018-03-03,0
"42",2018-03-04,0
"43",2018-03-05,119
"44",2018-03-06,120
"45",2018-03-07,140
"46",2018-03-08,199
"47",2018-03-09,135
"48",2018-03-10,0
"49",2018-03-11,0
"50",2018-03-12,122
"51",2018-03-13,126
"52",2018-03-14,123
"53",2018-03-15,124
"54",2018-03-16,113
"55",2018-03-17,0
"56",2018-03-18,0
"57",2018-03-19,128
"58",2018-03-20,129
"59",2018-03-21,102
"60",2018-03-22,118
"61",2018-03-23,120
"62",2018-03-24,0
"63",2018-03-25,0
"64",2018-03-26,103
"65",2018-03-27,104
"66",2018-03-28,71
"67",2018-03-29,57
"68",2018-03-30,0
"69",2018-03-31,0
"70",2018-04-01,0
"71",2018-04-02,0
"72",2018-04-03,85
"73",2018-04-04,97
"74",2018-04-05,105
"75",2018-04-06,47
"76",2018-04-07,0
"77",2018-04-08,0
"78",2018-04-09,123
"79",2018-04-10,137
"80",2018-04-11,118
"81",2018-04-12,138
"82",2018-04-13,87
"83",2018-04-14,0
"84",2018-04-15,0
"85",2018-04-16,107
"86",2018-04-17,123
"87",2018-04-18,93
"88",2018-04-19,111
"89",2018-04-20,93
"90",2018-04-21,0
"91",2018-04-22,0
"92",2018-04-23,116
"93",2018-04-24,108
"94",2018-04-25,92
"95",2018-04-26,119
"96",2018-04-27,91
"97",2018-04-28,0
"98",2018-04-29,0
"99",2018-04-30,0
"100",2018-05-01,169
"101",2018-05-02,147
"102",2018-05-03,142
"103",2018-05-04,112
"104",2018-05-05,0
"105",2018-05-06,0
"106",2018-05-07,136
"107",2018-05-08,171
"108",2018-05-09,109
"109",2018-05-10,0
"110",2018-05-11,68
"111",2018-05-12,0
"112",2018-05-13,0
"113",2018-05-14,115
"114",2018-05-15,136
"115",2018-05-16,122
"116",2018-05-17,120
"117",2018-05-18,113
"118",2018-05-19,0
"119",2018-05-20,0
"120",2018-05-21,0
"121",2018-05-22,126
"122",2018-05-23,118
"123",2018-05-24,128
"124",2018-05-25,135
"125",2018-05-26,0
"126",2018-05-27,0
"127",2018-05-28,128
