ID;Product_Category;Start_Timestamp;Time_Difference;Volume_Foam;Weight_Foam;Volume_Cappuccino;Weight_Cappuccino;Extraction_Time;Weight_Coffee;Cup_Temperature;Median_Outlet_Temperatur;Mean_Outlet_Temperatur
P1;Cappuccino_2minBreak;08:43;00:02;155;58.6;175;100;14;38;72;77.2;73.05
P10;Cappuccino_2minBreak;09:01;00:02;165;57;190;96.3;11.2;39.5;69.4;77.72;75.33
P11;Cappuccino_2minBreak;10:00;00:02;165;59.7;190;98.6;13.5;39.2;67.1;79.13;77.52
P12;Cappuccino_2minBreak;10:02;00:02;165;59;185;97.6;13.9;38.1;68.5;78.06;75.97
P13;Cappuccino_2minBreak;10:04;00:02;165;59.7;190;98.7;13.4;39.4;68.1;77.92;75.86
P14;Cappuccino_2minBreak;10:06;00:02;145;61.1;180;101.1;13;38.4;67.8;71.79;70.54
P15;Cappuccino_2minBreak;10:08;00:02;165;60.5;190;98.4;14.5;37.8;70.4;78.11;77.14
P16;Cappuccino_2minBreak;10:10;00:02;165;58.9;190;98.5;16.5;39.95;70.5;78.38;75.75
P17;Cappuccino_2minBreak;10:12;00:02;160;59.8;185;97;16.03;37.65;70.4;78.09;76.16
P18;Cappuccino_2minBreak;10:14;00:02;165;59.7;195;100.6;13.8;40.8;72;77.42;75.65
P19;Cappuccino_2minBreak;10:16;00:02;160;59.7;190;97.4;16.5;38.1;70.2;77.49;75.92
P2;Cappuccino_2minBreak;08:45;00:02;170;58;180;96.2;16;38.1;68;78.09;75.81
P20;Cappuccino_2minBreak;10:18;00:02;165;59.1;190;96;15.72;37.5;69.5;77.97;75.78
P21;Cappuccino_5minBreak;10:42;00:05;165;60.9;185;95.6;15.1;37;66;77.03;73.85
P22;Cappuccino_5minBreak;10:47;00:05;155;63;180;100.6;16.2;37.85;64.3;76.44;73.38
P23;Cappuccino_5minBreak;10:52;00:05;145;61.6;185;101.9;16.85;40.85;65;76.62;73.2
P24;Cappuccino_5minBreak;10:57;00:05;155;60.6;180;100.2;14.59;40.2;66;76.33;73.73
P25;Cappuccino_5minBreak;11:02;00:05;160;61.1;185;99;18;38.4;66.6;76.66;73.2
P26;Cappuccino_5minBreak;11:07;00:05;150;60.5;185;99.8;15.7;39;64.2;76.18;72.88
P27;Cappuccino_5minBreak;11:12;00:05;160;60.4;185;99.8;15;38.8;64;76.88;74.52
P28;Cappuccino_5minBreak;11:17;00:05;160;60.6;185;98;14.2;37.75;67;77.04;73.03
P29;Cappuccino_5minBreak;11:22;00:05;160;60.2;185;99.3;14.4;37;67.3;76.45;74.18
P3;Cappuccino_2minBreak;08:47;00:02;165;58.6;185;99.4;13.4;38;69;77.32;75.17
P30;Cappuccino_5minBreak;11:27;00:05;155;60.6;180;100.2;15.4;40.15;66;76.98;74.47
P31;Cappuccino_5minBreak;11:32;00:05;160;59.8;185;97.5;13.56;37.9;68.4;77.17;74.15
P32;Cappuccino_5minBreak;11:37;00:05;160;59.4;185;96.8;17;38.05;65.5;76.5;72.16
P33;Cappuccino_5minBreak;11:42;00:05;155;59.4;180;96.3;15.7;37.45;64.3;76.98;74.01
P34;Cappuccino_5minBreak;11:47;00:05;155;60.8;180;98.6;15.22;38.35;65.8;77.28;74.15
P35;Cappuccino_5minBreak;11:52;00:05;155;59.9;185;95.8;16.66;36.2;65;76.93;74.5
P36;Cappuccino_5minBreak;11:57;00:05;160;60;180;95.9;14.06;34.25;65.1;76.73;71.46
P37;Cappuccino_5minBreak;12:40;00:05;160;59.5;185;94.5;12.91;35.6;65.2;76.5;73.89
P38;Cappuccino_5minBreak;12:45;00:05;165;59;190;95.2;13.85;36.9;67.7;77.44;74.3
P39;Cappuccino_5minBreak;12:50;00:05;165;58.5;180;96.3;12.91;32.4;65.2;76.88;73.14
P4;Cappuccino_2minBreak;08:49;00:02;170;58.3;195;98.5;16.25;40.1;70.5;77.91;76.02
